# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 23.427083333333332
# DEC: 3.5434166666666664
# OBS_DATE: 2024-06-27 11:23:19.170000+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 165244
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3503.534,3.20186e+00,3.91758e-01
3506.068,3.36526e+00,3.91046e-01
3508.601,3.67512e+00,4.20720e-01
3511.135,2.79128e+00,4.14888e-01
3513.669,2.52531e+00,3.80757e-01
3516.203,2.85188e+00,3.64159e-01
3518.736,2.39238e+00,3.67341e-01
3521.270,2.26053e+00,3.67153e-01
3523.804,2.70732e+00,3.75286e-01
3526.338,2.98423e+00,3.66796e-01
3528.871,3.26477e+00,3.56826e-01
3531.405,3.24923e+00,3.57187e-01
3533.939,3.03789e+00,3.72066e-01
3536.473,3.03862e+00,4.07093e-01
3539.006,3.02404e+00,4.08785e-01
3541.540,3.21083e+00,3.85741e-01
3544.074,3.52130e+00,3.75096e-01
3546.608,3.20902e+00,3.75190e-01
3549.142,3.16355e+00,3.99785e-01
3551.675,2.03903e+00,3.94014e-01
3554.209,2.48114e+00,3.75133e-01
3556.743,3.06153e+00,3.53856e-01
3559.277,2.46527e+00,3.46316e-01
3561.810,2.52594e+00,3.66408e-01
3564.344,3.44325e+00,3.94839e-01
3566.878,3.18655e+00,3.55218e-01
3569.412,4.11480e+00,3.24106e-01
3571.945,3.67735e+00,3.20123e-01
3574.479,3.38415e+00,3.36332e-01
3577.013,3.00297e+00,3.66247e-01
3579.547,2.91684e+00,3.54366e-01
3582.080,2.74611e+00,3.13749e-01
3584.614,2.67315e+00,2.97378e-01
3587.148,3.37109e+00,2.96706e-01
3589.682,3.35008e+00,3.36265e-01
3592.215,3.69305e+00,3.61326e-01
3594.749,3.00693e+00,3.49679e-01
3597.283,3.20677e+00,3.41521e-01
3599.817,2.79074e+00,3.38044e-01
3602.351,3.27517e+00,3.47668e-01
3604.884,3.93945e+00,3.58735e-01
3607.418,3.28249e+00,3.28249e-01
3609.952,3.74437e+00,3.11732e-01
3612.486,3.56069e+00,3.06902e-01
3615.019,3.46590e+00,3.26716e-01
3617.553,3.47602e+00,3.42516e-01
3620.087,3.58302e+00,3.28893e-01
3622.621,3.36308e+00,3.11165e-01
3625.154,3.08071e+00,3.12816e-01
3627.688,2.93794e+00,3.26091e-01
3630.222,3.28916e+00,3.38475e-01
3632.756,2.97207e+00,3.21106e-01
3635.289,3.36006e+00,3.05061e-01
3637.823,3.28737e+00,3.03759e-01
3640.357,2.73343e+00,3.03860e-01
3642.891,3.39014e+00,3.20165e-01
3645.425,3.00707e+00,3.16589e-01
3647.958,3.29020e+00,3.05269e-01
3650.492,2.54172e+00,2.88111e-01
3653.026,2.98634e+00,2.92446e-01
3655.560,3.61970e+00,3.13413e-01
3658.093,3.24576e+00,3.30993e-01
3660.627,3.09365e+00,3.29078e-01
3663.161,3.11099e+00,3.02871e-01
3665.695,3.13644e+00,2.88642e-01
3668.228,2.97816e+00,2.86619e-01
3670.762,3.25970e+00,3.03572e-01
3673.296,3.47453e+00,3.12354e-01
3675.830,3.40911e+00,2.89410e-01
3678.363,2.69266e+00,2.62825e-01
3680.897,2.66475e+00,2.59735e-01
3683.431,3.18647e+00,2.75993e-01
3685.965,3.11057e+00,2.82841e-01
3688.498,3.59599e+00,2.73543e-01
3691.032,3.91219e+00,2.67544e-01
3693.566,3.18701e+00,2.65185e-01
3696.100,3.05018e+00,2.71263e-01
3698.634,3.46184e+00,2.97591e-01
3701.167,3.27698e+00,2.91648e-01
3703.701,2.98764e+00,2.61842e-01
3706.235,2.70603e+00,2.39079e-01
3708.769,2.96704e+00,2.40356e-01
3711.302,3.55510e+00,2.72261e-01
3713.836,3.16220e+00,2.88063e-01
3716.370,3.58565e+00,2.71075e-01
3718.904,3.43034e+00,2.40319e-01
3721.437,3.47747e+00,2.27775e-01
3723.971,3.61405e+00,2.47035e-01
